IN1,IN2,IN3,IN4,IN5,Out1,Out2
0.0777441375,0.7955651441,-0.6655033148,0.8793214493,0.1344188283,-0.1226863606,0.1236610317
0.08031253163,0.8245948932,-0.6554465762,0.8756360186,0.1349407477,-0.1226863606,0.1236610317
0.08735490263,0.7762576223,-0.6505498396,0.8841054218,0.1324515936,-0.02685698061,0.1236610317
0.09177364522,0.7391488393,-0.6449335108,0.8920432725,0.1312873119,-0.02685698061,0.2510096099
0.09116606811,0.7613319494,-0.6486543286,0.8927520092,0.1367875395,-0.02685698061,0.2510096099
0.08765869118,0.7620166133,-0.6536563714,0.8960121978,0.1404811229,-0.02685698061,0.3783581881
0.08249428578,0.7333976625,-0.6536212693,0.8924685145,0.1381927071,-0.02685698061,0.3783581881
0.08188670868,0.7039571151,-0.6507955539,0.89151172,0.1375101971,-0.02685698061,0.5057067663
0.08481412564,0.6379555157,-0.6545865758,0.888535026,0.1353823718,-0.02685698061,0.5057067663
0.08404084569,0.6682176598,-0.6545163717,0.8893146363,0.1309259831,-0.02685698061,0.6330553445
0.08368182286,0.7894031691,-0.659834333,0.887471921,0.08503722316,-0.02685698061,0.6330553445
0.08542170275,0.7904986313,-0.6640114775,0.887046679,0.03421030273,0.06897239942,0.5057067663
0.08249428578,0.7228538386,-0.663081273,0.8920432725,0.03172114864,0.1648017794,0.3783581881
0.07578332048,0.7214845108,-0.65790372,0.8979612237,-0.002966417906,0.06897239942,0.3783581881
0.06426697262,0.734356192,-0.650830656,0.9031704382,-0.04275273556,-0.02685698061,0.5057067663
0.05299917902,0.6783506855,-0.6440033064,0.9060053848,-0.06579748463,-0.1226863606,0.5057067663
0.0421180254,0.6632880798,-0.6468641238,0.9102578049,-0.1197559215,-0.2185157407,0.6330553445
0.03068452896,0.7172395946,-0.6517959625,0.9116752782,-0.2094457637,-0.3143451207,0.6330553445
0.02527156929,0.7475017388,-0.647618818,0.917451482,-0.2977304383,-0.4101745007,0.6330553445
0.02706668347,0.7780377484,-0.6480751447,0.9212432232,-0.3245490661,-0.5060038807,0.7604039227
0.02552012356,0.8114493465,-0.6483735122,0.9201801182,-0.3375970512,-0.6018332608,0.7604039227
0.02170895808,0.7528421171,-0.6606943333,0.9130573147,-0.3703575308,-0.6018332608,0.7604039227
0.02170895808,0.6950564845,-0.663046171,0.905119464,-0.3918766693,-0.5060038807,0.6330553445
0.0244706722,0.6988906023,-0.6563592296,0.9056864533,-0.4198194312,-0.5060038807,0.5057067663
0.02604484924,0.6752012315,-0.6609751498,0.9073519845,-0.452098139,-0.5060038807,0.5057067663
0.02107376383,0.7342192592,-0.6540073919,0.911923336,-0.4821687262,-0.5060038807,0.5057067663
0.01767685547,0.8040549764,-0.6696453572,0.9213495337,-0.5204695809,-0.5060038807,0.3783581881
0.01416947854,0.721347578,-0.6982184297,0.9163529402,-0.5294225061,-0.5060038807,0.3783581881
0.01207057581,0.6509641297,-0.6916543455,0.9063243163,-0.5310284119,-0.5060038807,0.3783581881
0.01590935843,0.6765705593,-0.6901098551,0.8978194763,-0.5599347174,-0.5060038807,0.2510096099
0.02477446075,0.7186089224,-0.681720464,0.8937442405,-0.5921732775,-0.5060038807,0.2510096099
0.03524135725,0.7577716972,-0.6683992343,0.8980320973,-0.5922134252,-0.5060038807,0.1236610317
0.04755860221,0.8313045994,-0.6587637203,0.8771598024,-0.5922937204,-0.4101745007,-0.1310361247
0.06233377273,0.7946066147,-0.650830656,0.8578467282,-0.5913301769,-0.4101745007,-0.1310361247
0.07169598359,0.7314806036,-0.6480049406,0.8600792487,-0.5800085406,-0.4101745007,-0.1310361247
0.07459578341,0.7406550998,-0.6509359622,0.8600792487,-0.5148890581,-0.4101745007,-0.1310361247
0.07061891508,0.7350408559,-0.6609751498,0.8582719702,-0.4535434542,-0.4101745007,-0.1310361247
0.07409867487,0.6626034159,-0.6615016806,0.8590515806,-0.4531018301,-0.4101745007,-0.1310361247
0.07978780595,0.6472669447,-0.6544812697,0.8628078849,-0.452660206,-0.4101745007,-0.1310361247
0.08152768584,0.7014923251,-0.6560784132,0.8680170994,-0.4522185819,-0.4101745007,-0.1310361247
0.08354373715,0.7147748046,-0.6667494377,0.8726238878,-0.4540653736,-0.4101745007,-0.1310361247
0.08691302837,0.7253186286,-0.6712600518,0.8778331023,-0.4564340848,-0.3143451207,-0.2583847029
0.0841789314,0.7639336722,-0.6682939281,0.8818729013,-0.4563136419,-0.3143451207,-0.3857332811
0.07586617191,0.7388749737,-0.665608621,0.8819083381,-0.4546274407,-0.3143451207,-0.3857332811
0.07285590352,0.7149117374,-0.6589392306,0.885770953,-0.4541055213,-0.3143451207,-0.3857332811
0.06979040085,0.7607842183,-0.6621861706,0.8859481371,-0.4562333466,-0.3143451207,-0.2583847029
0.07164074931,0.7580455627,-0.6705053576,0.8872593,-0.4580399907,-0.4101745007,-0.2583847029
0.07506527481,0.7366840492,-0.6609400477,0.8948427823,-0.45924442,-0.4101745007,-0.2583847029
0.07357394919,0.7657137983,-0.6561837193,0.9010087913,-0.4589232389,-0.4101745007,-0.2583847029
0.07846218317,0.7424352259,-0.662396783,0.9016466543,-0.4586020577,-0.4101745007,-0.1310361247
0.0777441375,0.6994383334,-0.6640114775,0.9017529648,-0.4568757089,-0.4101745007,-0.1310361247
0.07732988039,0.7234015697,-0.6600800474,0.8970753028,-0.4639818423,-0.5060038807,-0.1310361247
0.07677753756,0.7568131677,-0.6464780012,0.8973233607,-0.5129218234,-0.5060038807,-0.003687546497
0.07934593169,0.7272356875,-0.6474433077,0.8912636621,-0.5568834963,-0.4101745007,-0.003687546497
0.09058610815,0.6884837111,-0.6633269874,0.886408816,-0.5541534563,-0.4101745007,-0.003687546497
0.09163555951,0.7531159827,-0.6556922906,0.8959058873,-0.5511825305,-0.4101745007,0.1236610317
0.08989567962,0.8180221199,-0.6459690214,0.8956578295,-0.5504197252,-0.4101745007,0.1236610317
0.09163555951,0.7857059841,-0.6497249413,0.894913656,-0.5392988271,-0.4101745007,0.1236610317
0.09149747381,0.7647552689,-0.6535159632,0.896827245,-0.4874280679,-0.4101745007,0.1236610317
0.09356875939,0.7160071996,-0.6549375964,0.8966500608,-0.4180127871,-0.3143451207,0.1236610317
0.09199458235,0.6621926176,-0.6519714728,0.8965083135,-0.3934424275,-0.3143451207,0.1236610317
0.08818341687,0.7101190901,-0.6532175957,0.8946301613,-0.3946870045,-0.3143451207,0.3783581881
0.08486935993,0.7629751428,-0.652761269,0.8943112298,-0.3936431657,-0.3143451207,0.5057067663
